augmentation_couple,augmentation_1,augmentation_2,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Random Sampling_Flip,Random Sampling,Flip,0.8338870406150818,0.8007153272628784,0.8010203838348389,0.8505365252494812,0.8838099837303162,0.7677978873252869,0.6514300107955933,0.7347615361213684,0.7515923976898193,0.8505365252494812,0.7926087379455566
Random Sampling_Drop,Random Sampling,Drop,0.8173691034317017,0.7513389587402344,0.668367326259613,0.7512755393981934,0.900306761264801,0.7838874459266663,0.7510850429534912,0.8173224329948425,0.8173224329948425,0.7508305311203003,0.7809105515480042
Random Sampling_Noise+Scaling,Random Sampling,Noise+Scaling,0.7844387292861938,0.8172757625579834,0.8170419931411743,0.783942699432373,0.8173224329948425,0.8505365252494812,0.8505365252494812,0.6840624809265137,0.8171823024749756,0.734355092048645,0.795669436454773
Flip_Noise,Flip,Noise,0.8006644248962402,0.7682709693908691,0.7842186093330383,0.7844937443733215,0.7678571343421936,0.8340566754341125,0.7844937443733215,0.8340566754341125,0.7679163217544556,0.7846584916114807,0.7910686731338501
Flip_Scaling,Flip,Scaling,0.6203656792640686,0.8341836929321289,0.8506128787994385,0.8010711669921875,0.8506128787994385,0.8175554871559143,0.8174623250961304,0.8673130869865417,0.8178808093070984,0.8341836929321289,0.8111241459846497
Flip_Magnitude Warp,Flip,Magnitude Warp,0.7672634124755859,0.8341413736343384,0.7507031559944153,0.8338021039962769,0.8505747318267822,0.8009188175201416,0.7672634124755859,0.8170419335365295,0.8838100433349609,0.883631706237793,0.818915069103241
Flip_Random Sampling,Flip,Random Sampling,0.7844937443733215,0.7677978873252869,0.7346938848495483,0.8506128787994385,0.7839979529380798,0.8173691034317017,0.8340566754341125,0.8339719176292419,0.8010203838348389,0.800868034362793,0.8008882403373718
Flip_Flip,Flip,Flip,0.8169951438903809,0.8338021039962769,0.8505747318267822,0.800613522529602,0.7841083407402039,0.8670756816864014,0.7673229575157166,0.8338445425033569,0.8007153868675232,0.9169435501098633,0.8271995782852173
Flip_Drop,Flip,Drop,0.7184712886810303,0.8177415132522583,0.7184712886810303,0.6687898635864258,0.7844937443733215,0.8008679747581482,0.8175089359283447,0.7352342009544373,0.7843837738037109,0.8010203838348389,0.764698326587677
Flip_Noise+Scaling,Flip,Noise+Scaling,0.8171823024749756,0.8004094362258911,0.8338021039962769,0.7181841135025024,0.8503836393356323,0.6853502988815308,0.7673823833465576,0.7837215662002563,0.7836107611656189,0.8170419931411743,0.7857068777084351
