augmentation_couple,augmentation_1,augmentation_2,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
Scaling_Negation,Scaling,Negation,0.9170836210250854,0.9378571510314941,0.9792709350585938,0.9378571510314941,0.937901496887207,0.9378571510314941,0.9379457831382751,0.9378571510314941,0.979285717010498,0.9585418105125427,0.9461458325386047
Scaling_Channel_Shuffle,Scaling,Channel_Shuffle,0.9378127455711365,0.8965762853622437,0.9170836210250854,0.8963545560836792,0.9171428680419922,0.9378127455711365,0.9170836210250854,0.9585714340209961,0.9378571510314941,0.937901496887207,0.9254196882247925
Scaling_Noise+Scaling,Scaling,Noise+Scaling,0.9172019958496094,0.937901496887207,0.8964285850524902,0.9171428680419922,0.8965024948120117,0.8965024948120117,0.8965024948120117,0.9172019958496094,0.9586009979248047,0.8965024948120117,0.9130488634109497
Scaling_Mag_warp+Noise,Scaling,Mag_warp+Noise,0.9171428680419922,0.9170243144035339,0.979285717010498,0.9172019958496094,0.8964285850524902,0.937901496887207,0.9171428680419922,0.8965024948120117,0.9172019958496094,0.9378571510314941,0.9233690500259399
Scaling_scaling+flip,Scaling,scaling+flip,0.9585714340209961,0.9586305022239685,0.979285717010498,0.9378571510314941,0.9585714340209961,0.9585714340209961,0.9378571510314941,0.979285717010498,0.979285717010498,0.9171428680419922,0.9565059542655945
Magnitude Warp_Noise,Magnitude Warp,Noise,0.9378127455711365,0.9585714340209961,0.8965024948120117,0.937901496887207,0.9585418105125427,0.9378127455711365,0.9172019958496094,0.8964285850524902,0.9585714340209961,0.8548963069915771,0.9254242181777954
Magnitude Warp_Scaling,Magnitude Warp,Scaling,0.8964285850524902,0.9171428680419922,0.9585714340209961,0.9378571510314941,0.979285717010498,0.9171428680419922,0.9171428680419922,0.9585714340209961,0.9378571510314941,0.9172019958496094,0.9337202310562134
Magnitude Warp_Magnitude Warp,Magnitude Warp,Magnitude Warp,0.9585714340209961,0.8965024948120117,0.9379457831382751,0.937901496887207,0.9793004989624023,1.0,0.979285717010498,0.9172019958496094,0.9586009979248047,0.9379457831382751,0.950325608253479
Magnitude Warp_Random Sampling,Magnitude Warp,Random Sampling,0.8756254315376282,0.8551034927368164,0.9170836210250854,0.9170836210250854,0.9170836210250854,0.8550000190734863,0.8963545560836792,0.9378571510314941,0.8963545560836792,0.9378127455711365,0.9005358815193176
Magnitude Warp_Flip,Magnitude Warp,Flip,0.9792709350585938,0.979285717010498,0.9173200130462646,0.9378571510314941,0.8758029937744141,0.9586305022239685,0.9586305022239685,0.9172610640525818,0.9793004989624023,0.9793004989624023,0.9482660293579102
Magnitude Warp_Drop,Magnitude Warp,Drop,0.9171428680419922,0.9170836210250854,0.9378127455711365,0.9172610640525818,0.937901496887207,0.8963545560836792,0.8757143020629883,0.9586009979248047,0.9172019958496094,0.9171428680419922,0.9192216992378235
Magnitude Warp_Time Warp,Magnitude Warp,Time Warp,0.9585714340209961,0.8964285850524902,0.8964285850524902,0.9378571510314941,0.8964285850524902,0.8964285850524902,0.9171428680419922,0.8757143020629883,0.9586009979248047,0.9378571510314941,0.9171457290649414
Magnitude Warp_Permutation,Magnitude Warp,Permutation,0.9378571510314941,0.979285717010498,0.9171428680419922,0.9378571510314941,0.9585714340209961,0.9585714340209961,0.9378571510314941,0.9171428680419922,0.9378571510314941,0.9585714340209961,0.9440714716911316
Magnitude Warp_Negation,Magnitude Warp,Negation,0.9585418105125427,0.937901496887207,0.9585418105125427,0.9378127455711365,0.9378127455711365,0.9585714340209961,0.9170836210250854,0.9585714340209961,0.9585418105125427,0.9792709350585938,0.9502650499343872
