TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
39:40.3,0.94130665,0.12713169,0.3092939,1.0344671,0.12325432,-0.20596837,-0.14977767,0.26011613,0.67533106,-0.096987695,0.032870788,0.6000807,0.10781196,-0.2744698,0.14231876,0.4761101,0.015418503,-0.5497551,-0.3930699,0.12277626,836.08057,858.24176,870.32965,964.61536,1008.93774,0,0,0.161315918,0.302856445,0.934570313,0.770111084,2.429962158,2.706604004,1,1,1,1,1,65.05,NaN
39:40.8,0.76716805,-0.15537788,0.20442414,0.89600444,0.03372492,-0.23603825,-0.23578383,0.27804968,0.6448841,-0.08222846,0.07599411,0.6479698,0.23578723,-0.34256867,0.17439243,0.46368533,-0.04966503,-0.51074374,-0.33483842,0.019742107,826.0073,859.0476,826.0073,716.0073,692.23444,9.999999,0,0.157897949,0.305358887,0.934448242,0.800018311,2.482299805,2.280426025,1,1,1,1,1,65.05,NaN
39:41.3,0.6728088,-0.369658,0.13016897,0.7040933,0.07938426,-0.31118774,-0.29893675,0.24127893,0.670614,0.07636236,0.10271145,0.69720453,0.25911558,-0.40923545,0.16996907,0.41151106,-0.054810427,-0.539041,-0.30966687,0.06044992,830.84247,864.68866,857.4359,847.76556,925.5311,19.999998,0,0.156616211,0.306640625,0.934997559,0.949554443,3.372039795,2.063598633,1,1,1,1,1,65.05,NaN
39:41.8,0.606723,-0.3538297,0.0419468,0.7383935,0.18945114,-0.5998104,-0.30303097,0.29354918,0.7895682,0.07024437,0.15602438,0.6885887,0.22928546,-0.44461218,0.18942423,0.37790757,0.021936737,-0.57333577,-0.2516079,0.0690934,829.2308,866.7033,877.98535,979.12085,1001.685,29.999998,0,0.157470703,0.305541992,0.936157227,0.463562012,2.504730225,2.04864502,1,1,1,1,1,65.05,NaN
39:42.3,0.7010583,-0.19298185,0.29613945,0.83796614,0.38032687,-0.66627574,-0.26055953,0.34776366,1.036638,0.000878,0.12613818,0.63793945,0.20428786,-0.29775053,0.16677777,0.42743298,0.11063945,-0.58964324,-0.15280378,0.23032871,833.2601,846.9597,841.31866,838.49817,787.72894,40.000004,0,0.157165527,0.303466797,0.932800293,0.500946045,2.631835938,2.093505859,1,1,1,1,1,65.05,NaN
39:42.8,1.1584759,0.07195839,0.5657353,1.2060858,0.4303317,-0.45384806,-0.10032247,0.32415852,1.0374808,-0.0981657,0.1152729,0.6130766,0.33483413,-0.19560722,0.15927958,0.5261531,0.23712842,-0.32642493,-0.0666815,0.4046665,825.6044,849.7802,812.3077,718.4249,687.3993,50.000008,0,0.156433105,0.304199219,0.935852051,0.478515625,3.237457275,2.325286865,1,1,1,1,1,65.05,NaN
39:43.3,1.170057,0.23627421,0.58480495,1.1840823,0.49081066,-0.33391926,0.08037276,0.38477308,0.96147084,-0.083383456,0.080746815,0.63366896,0.47136196,-0.12323695,0.13504444,0.6016881,0.22036114,-0.17761724,-0.051221915,0.41111523,820.7692,851.79486,866.30035,954.1392,915.4579,50.000008,0,0.157653809,0.303710938,0.93536377,0.396270752,2.489776611,1.93649292,1,1,1,1,1,64.61,NaN
39:43.8,1.216115,0.41050598,0.56498843,1.2173625,0.53817934,-0.16859843,0.11668946,0.5073814,0.9495853,-0.067206025,0.24860813,1.0082392,0.46868125,-0.18101908,0.14237955,0.59038186,0.1584213,-0.21012715,-0.18209045,0.32175845,833.2601,857.03296,830.4396,755.89746,685.78754,56,0,0.15234375,0.303710938,0.933898926,0.224304199,3.028106689,2.123413086,1,1,1,1,1,64.61,NaN
39:44.3,1.2160381,0.3778141,0.5825773,1.1425086,0.8628173,-0.16471113,0.09240981,0.78256685,1.0799313,0.039019644,0.1683765,1.1167183,0.42665032,-0.26960987,0.12245247,0.6338773,0.03854529,-0.40348607,-0.24648422,0.104409456,819.5604,844.5421,842.9304,744.21246,794.57874,65.99999,0,0.153991699,0.303649902,0.932861328,0.84487915,3.207550049,2.721557617,1,1,1,1,1,64.61,NaN
39:44.8,1.2854707,0.25379106,0.71567035,1.2038788,0.92128676,-0.17770316,-0.028474102,0.8893389,1.0888994,0.06484934,0.1596739,1.11685,0.42704594,-0.3580942,0.17187704,0.6022969,0.14007492,-0.5127093,-0.25912064,0.22193174,828.4249,859.0476,866.30035,931.978,994.43225,75.999985,0,0.156311035,0.304748535,0.93536377,0.014953613,2.272949219,3.237457275,1,1,1,1,1,64.61,NaN
39:45.3,1.2750871,0.014775201,0.83939254,1.2031474,0.96242017,-0.18010806,-0.008681417,0.9578159,1.1049255,0.20598993,0.17552899,1.096037,0.5377286,-0.23641491,0.18208551,0.6404719,0.3950021,-0.27220488,-0.05523013,0.49503902,841.7216,859.0476,865.89746,927.5458,904.9817,85.99997,0,0.152404785,0.301025391,0.937927246,0.687866211,2.130889893,2.325286865,1,1,1,1,1,64.61,NaN
39:45.8,1.0762961,0.10738078,0.7848558,1.1011857,0.70064,-0.29279262,-0.13607407,0.8042857,0.86852187,0.14943734,-0.052720003,0.937756,0.5249009,-0.22349796,0.18780865,0.5470147,0.392093,-0.25226414,-0.03417506,0.54338956,837.6923,854.61536,842.52747,848.1685,886.8498,95.99996,0,0.147888184,0.295837402,0.938842773,-0.994415283,2.73651123,2.594451904,1,1,1,1,1,64.61,NaN
